店名,code,住所,住所URL,HP,電話,営業時間,説明,,入力者,,,,,,,,,
日高屋,hidakaya,〒275-0016 千葉県習志野市津田沼１丁目１−１,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d810.1100565286783!2d140.01999292917682!3d35.69078298797713!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x60228020cafd967b%3A0xfa79f6965aff8e08!2z5pel6auY5bGLIOa0peeUsOayvOmnheWNl-WPo-W6lw!5e0!3m2!1sja!2sjp!4v1543484216465,http://hidakaya.hiday.co.jp,047-476-8770,11:00～14:30,チェーン店。<br>色々な種類のラーメンが食べられる。<br>駅や大学が近いので混む前に行くのがおすすめ。,,山田,,,,,,,,,
麺場 田所商店,menbatadokorosyouten,〒275-0026 千葉県習志野市谷津７丁目７−１ Loharu津田沼1F,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3240.454890065818!2d140.01577461475472!3d35.69042203707627!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x60187f8a043c16db%3A0x63c72e2ed1e6c3b1!2z44CSMjc1LTAwMjYg5Y2D6JGJ55yM57-S5b-X6YeO5biC6LC35rSl77yX5LiB55uu77yX4oiS77yRIO-8rO-9j--9iO-9ge-9ku-9lea0peeUsOayvDFG!5e0!3m2!1sja!2sjp!4v1543483549688,http://www.r-tadokoro.com/,047-411-711,月-金 11:00-22:00 土・日・祝 11:00-21:30,味噌ラーメン専門店。様々な種類の味噌があり、いつ来ても違う味噌ラーメンが楽しめる。,,近藤,,,,,,,,,
栄昇ラーメン,eisyoura-men,〒275-0016 千葉県習志野市津田沼２丁目１−１０ ヒカリマンション,,,047-493-6812,11:00-21:00,魚介だしがウリのラーメン店,,近藤,,,,,,,,,
麺屋 宜候,menyayousoro,〒275-0016 千葉県習志野市津田沼２丁目６−３４,,,050-5596-0437,ランチ 11:30-15:00 ディナー 17:00-21:30," 船をイメージしたオシャレなラーメン屋。
こだわりの極上煮干しスープとコラーゲンたっぷりの鶏スープを合わせた食べやすいラーメン。",,近藤,,,,,,,,,
千葉工業大学 津田沼キャンパス 食堂,gakuseisyokudou,〒275-0016 千葉県 習志野市津田沼２丁目１７−１,,,047-478-0592,,リーズナブルに食べられる,,近藤,,,,,,,,,
必勝軒,hissyouken,〒275-0016 千葉県習志野市津田沼２丁目５−９,,,047-474-8283,"[月] 19:00〜21:20
[火・木・土・祝] 11:30〜14:20
[水・金] 11:30〜14:20／19:00〜21:20",基本は醤油ラーメンともりそば。各曜日でスープテーマが設定されており、違った味が楽しめる。,,近藤,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
